qseqid,taxon_name,pident,db,sample_id,count
1_1101_10004_10876_lib_ACATCG_tag_ACAGTC,NA,99.681,local,ML0542,187
1_1101_10056_7939_lib_ACATCG_tag_ACAGTC,Callophyllis flabellulata,100,genbank,ML0542,53
1_1101_10059_16674_lib_ACATCG_tag_ACAGTC,,,,ML0542,525
1_1101_10072_21299_lib_ACATCG_tag_ACAGTC,Pugetia fragilissima;Pugetia cryptica,100,genbank,ML0542,2
1_1101_10081_21342_lib_ACATCG_tag_ACAGTC,NA;NA,100,local,ML0542,14965
1_1101_10110_24441_lib_ACATCG_tag_ACAGTC,NA;NA,100,local,ML0542,7159
1_1101_10112_12446_lib_ACATCG_tag_ACAGTC,Mesocentrotus franciscanus,100,genbank,ML0542,7948
1_1101_10145_6361_lib_ACATCG_tag_ACAGTC,Nemertea;NA,100,local,ML0542,11708
1_1101_10182_17631_lib_ACATCG_tag_ACGTAT,,,,ML0542,4
1_1101_10256_20083_lib_ACATCG_tag_ACAGTC,NA,98.722,local,ML0542,7520
1_1101_10365_17541_lib_ACATCG_tag_ACAGTC,,,,ML0542,1797
1_1101_10386_16629_lib_ACATCG_tag_ACAGTC,NA,98.714,local,ML0542,985
1_1101_10574_23200_lib_ACATCG_tag_ACAGTC,Oegoconia novimundi,100,genbank,ML0542,299
1_1101_10691_14295_lib_ACATCG_tag_ACAGTC,,,,ML0542,1132
1_1101_10811_2610_lib_ACATCG_tag_ACAGTC,Nemertea,98.403,local,ML0542,1957
1_1101_10881_16885_lib_ACATCG_tag_ACAGTC,NA,98.065,local,ML0542,714
1_1101_11044_12396_lib_ACATCG_tag_ACAGTC,,,,ML0542,1291
1_1101_11209_2079_lib_ACATCG_tag_ACAGTC,,,,ML0542,184
1_1101_11333_13294_lib_ACATCG_tag_AGACGC,NA,100,local,ML0542,1
1_1101_11545_16396_lib_ACATCG_tag_ACAGTC,NA;NA;NA;NA;NA,100,local,ML0542,200
1_1101_11754_15159_lib_ACATCG_tag_ACAGTC,NA,99.361,local,ML0542,98
1_1101_11855_12759_lib_ACATCG_tag_ACAGTC,NA,98.71,local,ML0542,387
1_1101_11971_17720_lib_ACATCG_tag_ACAGTC,,,,ML0542,195
1_1101_12401_16546_lib_ACATCG_tag_ACAGTC,NA;NA,100,local,ML0542,61
1_1101_12425_24682_lib_ACATCG_tag_ACAGTC,NA,98.718,local,ML0542,329
1_1101_12523_18671_lib_ACATCG_tag_ACAGTC,Psolidium_bidiscum,100,local,ML0542,71
1_1101_13005_21041_lib_ACATCG_tag_ACAGTC,,,,ML0542,623
1_1101_13092_4070_lib_ACATCG_tag_ACGTAT,,,,ML0542,2
1_1101_13201_7894_lib_ACATCG_tag_ACAGTC,,,,ML0542,154
1_1101_13365_15764_lib_ACATCG_tag_ACGTAT,,,,ML0542,1
1_1101_13524_4948_lib_ACATCG_tag_ACAGTC,,,,ML0542,759
1_1101_13758_19948_lib_ACATCG_tag_ACAGTC,NA,98.083,local,ML0542,134
1_1101_14429_13782_lib_ACATCG_tag_ACAGTC,Nemertea,98.083,local,ML0542,148
1_1101_14834_9238_lib_ACATCG_tag_ACAGTC,NA,100,local,ML0542,638
1_1101_14871_14404_lib_ACATCG_tag_ACAGTC,,,,ML0542,226
1_1101_15021_18301_lib_ACATCG_tag_AGACGC,,,,ML0542,5
1_1101_15219_8167_lib_ACATCG_tag_ACAGTC,,,,ML0542,75
1_1101_15242_15685_lib_ACATCG_tag_ACAGTC,NA,98.392,local,ML0542,28
1_1101_15335_3590_lib_ACATCG_tag_ACAGTC,Ianiropsis,100,local,ML0542,546
1_1101_15392_13918_lib_ACATCG_tag_ACAGTC,Syllis_elongata;Typosyllis_elongata,99.361,local,ML0542,144
1_1101_15417_16463_lib_ACATCG_tag_ACAGTC,,,,ML0542,52
1_1101_15626_4283_lib_ACATCG_tag_ACAGTC,,,,ML0542,276
1_1101_15960_15149_lib_ACATCG_tag_ACAGTC,,,,ML0542,173
1_1101_16303_9456_lib_ACATCG_tag_ACAGTC,,,,ML0542,89
1_1101_16737_3810_lib_ACATCG_tag_ACAGTC,,,,ML0542,59
1_1101_17876_5977_lib_ACATCG_tag_ACAGTC,,,,ML0542,264
1_1101_19014_7549_lib_ACATCG_tag_ACAGTC,Epigamia magna,100,genbank,ML0542,204
1_1101_19080_14924_lib_ACATCG_tag_ACTAGC,,,,ML0542,1
1_1101_19265_3095_lib_ACATCG_tag_ACAGTC,Megalomma splendida,99.679,genbank,ML0542,59
1_1101_19718_11407_lib_ACATCG_tag_ACAGTC,,,,ML0542,21
1_1101_20140_7389_lib_ACATCG_tag_ACGTAT,,,,ML0542,1
1_1101_20204_24614_lib_ACATCG_tag_ACAGTC,,,,ML0542,10
1_1101_20652_23244_lib_ACATCG_tag_ACAGTC,Nemertea,97.764,local,ML0542,5
1_1101_20666_11885_lib_ACATCG_tag_ACAGTC,Phyllodoce medipapillata,100,genbank,ML0542,3
1_1101_20855_4073_lib_ACATCG_tag_ACAGTC,NA,97.764,local,ML0542,283
1_1101_20920_24569_lib_ACATCG_tag_ACAGTC,NA,98.596,local,ML0542,494
1_1101_21049_4263_lib_ACATCG_tag_ACAGTC,Chone_magna,100,local,ML0542,146
1_1101_21454_15863_lib_ACATCG_tag_ACAGTC,Nemertea,98.722,local,ML0542,105
1_1101_21496_18277_lib_ACATCG_tag_ACAGTC,,,,ML0542,76
1_1101_21793_13717_lib_ACATCG_tag_ACAGTC,Weeksia coccinea,100,genbank,ML0542,1
1_1101_22077_4467_lib_ACATCG_tag_ACAGTC,,,,ML0542,67
1_1101_22228_8526_lib_ACATCG_tag_ACAGTC,NA,97.444,local,ML0542,71
1_1101_22368_13985_lib_ACATCG_tag_ACAGTC,Ditylum brightwellii,100,genbank,ML0542,7
1_1101_22829_9912_lib_ACATCG_tag_ACAGTC,NA,99.628,local,ML0542,107
1_1101_23991_18506_lib_ACATCG_tag_ACAGTC,,,,ML0542,14
1_1101_24462_9345_lib_ACATCG_tag_ACAGTC,,,,ML0542,358
1_1101_24688_9837_lib_ACATCG_tag_ACAGTC,,,,ML0542,387
1_1101_26415_4858_lib_ACATCG_tag_ACAGTC,Opuntiella sp. 2californica,100,genbank,ML0542,76
1_1101_26647_16441_lib_ACATCG_tag_AGTGTA,,,,ML0542,2
1_1101_27653_19395_lib_ACATCG_tag_AGACGC,,,,ML0542,1
1_1101_28976_14527_lib_ACATCG_tag_ACAGTC,,,,ML0542,187
1_1101_2975_8726_lib_ACATCG_tag_ACAGTC,,,,ML0542,26
1_1101_3781_17374_lib_ACATCG_tag_ACAGTC,,,,ML0542,47
1_1101_4012_12858_lib_ACATCG_tag_ACAGTC,,,,ML0542,45
1_1101_7233_12617_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1101_9672_5948_lib_ACATCG_tag_AGACGC,,,,ML0542,1
1_1102_10615_18369_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1102_12280_14035_lib_ACATCG_tag_ACAGTC,Harmothoe_extenuata;Exogone,99.681,local,ML0542,25
1_1102_12298_7113_lib_ACATCG_tag_ACAGTC,,,,ML0542,250
1_1102_12818_7453_lib_ACATCG_tag_ACAGTC,,,,ML0542,15
1_1102_12980_3776_lib_ACATCG_tag_ACAGTC,NA,97.444,local,ML0542,250
1_1102_13200_19679_lib_ACATCG_tag_ACAGTC,,,,ML0542,17
1_1102_13837_13450_lib_ACATCG_tag_ACAGTC,,,,ML0542,4
1_1102_14732_16238_lib_ACATCG_tag_ACAGTC,NA;NA;NA;NA;NA,97.444,local,ML0542,4
1_1102_15273_16104_lib_ATTGGC_tag_AGCTAG,,,,ML0542,1
1_1102_15519_23983_lib_ACATCG_tag_ACAGTC,,,,ML0542,41
1_1102_19237_8085_lib_ACATCG_tag_ACAGTC,,,,ML0542,124
1_1102_19686_20618_lib_ACATCG_tag_ACAGTC,NA;NA;NA;NA;NA,98.083,local,ML0542,2
1_1102_20859_4280_lib_ACATCG_tag_AGTGTA,,,,ML0542,1
1_1102_20919_12454_lib_ACATCG_tag_ACAGTC,,,,ML0542,17
1_1102_23541_12715_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1102_24196_6750_lib_ACATCG_tag_ACAGTC,NA,99.303,local,ML0542,61
1_1102_24475_8664_lib_ACATCG_tag_ACAGTC,Amphissa columbiana,100,genbank,ML0542,53
1_1102_24805_5402_lib_ACATCG_tag_ACAGTC,,,,ML0542,3
1_1102_25704_17430_lib_ACATCG_tag_ACAGTC,NA,97.106,local,ML0542,5
1_1102_26090_7455_lib_ACATCG_tag_AGACGC,,,,ML0542,1
1_1102_26331_5440_lib_ACATCG_tag_ACAGTC,,,,ML0542,132
1_1102_3668_9818_lib_ACATCG_tag_ACAGTC,NA,100,local,ML0542,2
1_1102_4207_9621_lib_ACATCG_tag_ACAGTC,NA,97.444,local,ML0542,7
1_1102_5419_7993_lib_ACATCG_tag_ACAGTC,NA,97.125,local,ML0542,112
1_1103_10360_12338_lib_ACATCG_tag_ACAGTC,,,,ML0542,3
1_1103_10600_6611_lib_ACATCG_tag_ACAGTC,NA,98.083,local,ML0542,75
1_1103_10642_5362_lib_ACATCG_tag_ACAGTC,,,,ML0542,7
1_1103_11634_25013_lib_ACATCG_tag_ACAGTC,NA,97.756,local,ML0542,46
1_1103_11659_15087_lib_ACATCG_tag_ACAGTC,,,,ML0542,32
1_1103_11851_12205_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1103_12893_20338_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1103_13013_3441_lib_ACATCG_tag_ACGTAT,,,,ML0542,2
1_1103_13154_4256_lib_ACATCG_tag_ACAGTC,,,,ML0542,5
1_1103_15267_10902_lib_ACATCG_tag_ACGTAT,,,,ML0542,1
1_1103_16392_23037_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1103_17330_2862_lib_ACATCG_tag_ACAGTC,,,,ML0542,11
1_1103_18322_11864_lib_ACATCG_tag_ACGTAT,Aoroides_sp._1,99.042,local,ML0542,5
1_1103_19284_13586_lib_ACATCG_tag_ACAGTC,NA,99.681,local,ML0542,39
1_1103_22303_8083_lib_ACATCG_tag_ACAGTC,NA;NA,100,local,ML0542,1
1_1103_23200_17828_lib_ACATCG_tag_ACAGTC,,,,ML0542,4
1_1103_23907_7413_lib_ACATCG_tag_ACAGTC,,,,ML0542,36
1_1103_25593_17461_lib_ACATCG_tag_ACAGTC,,,,ML0542,87
1_1103_27238_6845_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1103_27255_14978_lib_ACATCG_tag_AGTGTA,,,,ML0542,1
1_1103_3033_15464_lib_ACATCG_tag_ACAGTC,,,,ML0542,8
1_1103_3859_13886_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1103_4010_12706_lib_ACATCG_tag_ACAGTC,,,,ML0542,3
1_1103_6040_16894_lib_ACATCG_tag_ACAGTC,,,,ML0542,6
1_1103_6200_15222_lib_ACATCG_tag_ACAGTC,,,,ML0542,19
1_1103_7174_4892_lib_ACATCG_tag_ACGTAT,Schizymenia pacifica,100,genbank,ML0542,1
1_1103_9097_14924_lib_ACATCG_tag_ACGTAT,uncultured Jiaozhou Bay zooplankton;Clytia hemisphaerica;Clytia xiamenensis;Clytia gracilis,100,genbank,ML0542,2
1_1103_9153_7841_lib_ACATCG_tag_ACGTAT,,,,ML0542,1
1_1104_11987_2688_lib_ACATCG_tag_ACAGTC,NA,97.756,local,ML0542,7
1_1104_12804_9350_lib_ACATCG_tag_ACAGTC,Amonardia_normani,100,local,ML0542,22
1_1104_13980_9207_lib_ACATCG_tag_ACAGTC,NA;NA;NA;NA;NA,98.403,local,ML0542,3
1_1104_14210_16333_lib_ACATCG_tag_ACAGTC,,,,ML0542,15
1_1104_15171_5905_lib_ACATCG_tag_ACAGTC,,,,ML0542,21
1_1104_19446_24112_lib_ACATCG_tag_ACAGTC,NA;NA,98.083,local,ML0542,15
1_1104_19725_16277_lib_ACATCG_tag_ACAGTC,NA,98.722,local,ML0542,6
1_1104_20574_3390_lib_ACATCG_tag_ACAGTC,Polycirrus sp. CMC05,100,genbank,ML0542,68
1_1104_20600_11243_lib_ACATCG_tag_AGACGC,,,,ML0542,2
1_1104_22760_1790_lib_ACATCG_tag_ACAGTC,,,,ML0542,10
1_1104_24234_6935_lib_ACATCG_tag_ACAGTC,,,,ML0542,5
1_1104_24489_15197_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1104_25094_7019_lib_ACATCG_tag_AGACGC,,,,ML0542,1
1_1104_25164_7061_lib_ACATCG_tag_ACAGTC,NA;NA,98.403,local,ML0542,2
1_1104_26699_10487_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1104_3063_12154_lib_ACATCG_tag_ACAGTC,NA,99.359,local,ML0542,10
1_1104_4963_10696_lib_ACATCG_tag_ACAGTC,,,,ML0542,3
1_1104_5389_10819_lib_ACATCG_tag_ACAGTC,,,,ML0542,3
1_1104_8598_7253_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1104_9303_4400_lib_ACATCG_tag_ACAGTC,,,,ML0542,5
1_1105_15807_10187_lib_ACATCG_tag_ACAGTC,NA,99.681,local,ML0542,12
1_1105_18539_7333_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1105_19469_10716_lib_ACATCG_tag_ACAGTC,,,,ML0542,8
1_1105_22069_23687_lib_ACATCG_tag_ACAGTC,NA,98.403,local,ML0542,1
1_1105_24977_23126_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1105_25724_18823_lib_ACATCG_tag_ACAGTC,NA,99.035,local,ML0542,1
1_1105_5715_9025_lib_ACATCG_tag_ACAGTC,,,,ML0542,6
1_1106_10777_22537_lib_ACATCG_tag_ACAGTC,Cucumaria miniata,99.361,genbank,ML0542,41
1_1106_10890_6714_lib_ACATCG_tag_ACAGTC,,,,ML0542,36
1_1106_11501_2360_lib_ACATCG_tag_ACAGTC,NA,98.387,local,ML0542,20
1_1106_12840_6157_lib_ACATCG_tag_ACAGTC,Paleanotus_bellis,100,local,ML0542,28
1_1106_14943_4336_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1106_14953_4676_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1106_17851_21103_lib_ACATCG_tag_ACAGTC,Parapleustinae_sp._1,100,local,ML0542,11
1_1106_20261_22035_lib_ACATCG_tag_ACAGTC,,,,ML0542,10
1_1106_23842_1820_lib_ACATCG_tag_ACAGTC,NA,98.083,local,ML0542,25
1_1106_24268_7358_lib_ACATCG_tag_ACAGTC,,,,ML0542,3
1_1106_28489_12124_lib_ACATCG_tag_ACAGTC,,,,ML0542,7
1_1106_3940_11088_lib_ACATCG_tag_ACAGTC,Syllis alternata CMC03,100,genbank,ML0542,77
1_1106_3989_17320_lib_ACATCG_tag_ACAGTC,,,,ML0542,4
1_1106_4925_9755_lib_TACAAG_tag_ATGTCG,NA;NA,98.969,local,ML0542,1
1_1106_9362_20280_lib_ACATCG_tag_ACAGTC,,,,ML0542,10
1_1107_10684_20874_lib_ACATCG_tag_ACGTAT,,,,ML0542,2
1_1107_12813_12516_lib_ACATCG_tag_ACAGTC,,,,ML0542,4
1_1107_18911_17768_lib_ACATCG_tag_ACAGTC,,,,ML0542,6
1_1107_20184_14204_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1107_20982_9455_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1107_21998_20117_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1107_23492_21238_lib_ACATCG_tag_ACAGTC,,,,ML0542,5
1_1107_24167_16565_lib_ACATCG_tag_ACAGTC,,,,ML0542,3
1_1107_24202_5870_lib_ACATCG_tag_ACGTAT,,,,ML0542,1
1_1107_25407_14135_lib_ACATCG_tag_ACAGTC,NA,98.208,local,ML0542,19
1_1107_26309_21738_lib_ACATCG_tag_ACAGTC,,,,ML0542,6
1_1107_26616_17649_lib_ACATCG_tag_ACAGTC,Mesocentrotus franciscanus,100,genbank,ML0542,2
1_1107_26641_7282_lib_ACATCG_tag_ACAGTC,,,,ML0542,6
1_1108_12684_22654_lib_ACATCG_tag_ACAGTC,,,,ML0542,20
1_1108_14351_18127_lib_ACATCG_tag_ACAGTC,NA,99.678,local,ML0542,1
1_1108_19955_4523_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1108_26771_7129_lib_ACATCG_tag_ACAGTC,,,,ML0542,7
1_1108_27356_12027_lib_ACATCG_tag_ACAGTC,,,,ML0542,8
1_1108_28280_18530_lib_ACATCG_tag_ACAGTC,,,,ML0542,6
1_1108_5301_21608_lib_ACATCG_tag_ACAGTC,NA,97.491,local,ML0542,29
1_1108_8991_3915_lib_ACATCG_tag_ACAGTC,,,,ML0542,18
1_1109_10213_18834_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1109_13204_19616_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1109_17852_21784_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1109_18353_22126_lib_GGAACT_tag_ATCGAC,Harmothoe_extenuata;Exogone,99.042,local,ML0542,1
1_1109_19224_10833_lib_ACATCG_tag_AGTGTA,,,,ML0542,1
1_1109_21570_22047_lib_ACATCG_tag_ACAGTC,,,,ML0542,17
1_1109_24817_13886_lib_ACATCG_tag_ACAGTC,,,,ML0542,3
1_1109_25302_4113_lib_ACATCG_tag_ACAGTC,NA,98.951,local,ML0542,43
1_1109_27028_10922_lib_ACATCG_tag_ACAGTC,,,,ML0542,17
1_1109_5692_21180_lib_ACATCG_tag_ACAGTC,,,,ML0542,14
1_1109_6605_20439_lib_ACATCG_tag_ACAGTC,,,,ML0542,9
1_1110_10833_15373_lib_ACATCG_tag_ACAGTC,Syllis_elongata,99.679,local,ML0542,6
1_1110_11114_17644_lib_ACATCG_tag_ACAGTC,NA,97.756,local,ML0542,18
1_1110_13547_5848_lib_ACATCG_tag_ACAGTC,Turnerella sp. 1Cal,98.722,genbank,ML0542,14
1_1110_19063_6934_lib_ACATCG_tag_ACAGTC,NA,97.419,local,ML0542,5
1_1110_19857_20334_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1110_20661_5135_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1110_22098_16251_lib_ACATCG_tag_ACAGTC,,,,ML0542,5
1_1110_23071_23070_lib_ACATCG_tag_ACAGTC,Gloiocladia sp. 1laciniata,97.444,genbank,ML0542,8
1_1110_23522_3490_lib_ACATCG_tag_ACAGTC,,,,ML0542,17
1_1110_26308_20294_lib_ACATCG_tag_AGTGTA,,,,ML0542,2
1_1110_27835_14890_lib_ACATCG_tag_ACAGTC,NA,98.71,local,ML0542,8
1_1110_3812_15641_lib_ACATCG_tag_ACAGTC,,,,ML0542,37
1_1110_8301_11423_lib_ACATCG_tag_ACAGTC,,,,ML0542,5
1_1110_9291_13033_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1111_10944_6007_lib_ACATCG_tag_ACTAGC,,,,ML0542,1
1_1111_11613_17456_lib_ACATCG_tag_ACAGTC,,,,ML0542,4
1_1111_13127_11973_lib_ACATCG_tag_ACAGTC,,,,ML0542,9
1_1111_13605_8440_lib_ATTGGC_tag_ACAGTC,,,,ML0542,3
1_1111_14535_12068_lib_ACATCG_tag_ACAGTC,NA;NA;NA;NA;NA,97.125,local,ML0542,7
1_1111_17166_9296_lib_ACATCG_tag_ACAGTC,NA,97.764,local,ML0542,3
1_1111_18742_2004_lib_ACATCG_tag_ACAGTC,,,,ML0542,4
1_1111_19597_9756_lib_ACATCG_tag_ACAGTC,Pholoides asperus,99.681,genbank,ML0542,1
1_1111_20180_6733_lib_ACATCG_tag_ACAGTC,,,,ML0542,3
1_1111_24513_2568_lib_ACATCG_tag_ACAGTC,Callophyllis heanophylla,100,genbank,ML0542,17
1_1111_24674_14069_lib_ACATCG_tag_ACAGTC,NA;NA,98.722,local,ML0542,2
1_1111_27675_19689_lib_ACATCG_tag_ACAGTC,,,,ML0542,12
1_1111_27677_19765_lib_ACATCG_tag_ACAGTC,,,,ML0542,48
1_1111_7242_3215_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1111_9774_14037_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1112_13018_1747_lib_ACATCG_tag_ACAGTC,,,,ML0542,4
1_1112_13828_11058_lib_ACATCG_tag_ACAGTC,,,,ML0542,11
1_1112_15290_19083_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1112_15497_20732_lib_ACATCG_tag_ACAGTC,NA,97.444,local,ML0542,6
1_1112_15991_2730_lib_ACATCG_tag_ACAGTC,,,,ML0542,10
1_1112_16368_22907_lib_ACATCG_tag_ACGTAT,,,,ML0542,1
1_1112_17596_8731_lib_ACATCG_tag_ACAGTC,NA,99.042,local,ML0542,36
1_1112_17930_16555_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1112_18817_1439_lib_ACATCG_tag_ACAGTC,,,,ML0542,6
1_1112_21800_9220_lib_ACATCG_tag_ACAGTC,,,,ML0542,18
1_1112_3504_19379_lib_ACATCG_tag_ACAGTC,Callophyllis sp. BEC-2012,100,genbank,ML0542,4
1_1113_12837_12787_lib_ACATCG_tag_ACAGTC,,,,ML0542,9
1_1113_19126_16933_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1113_20535_13470_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1113_24402_18165_lib_ACATCG_tag_ACAGTC,,,,ML0542,7
1_1113_8961_13289_lib_ACATCG_tag_ACAGTC,,,,ML0542,3
1_1114_10905_17889_lib_ACATCG_tag_ATAGCA,,,,ML0542,1
