taxon_name,rank,id
cellular organisms,no rank,131567
Eukaryota,superkingdom,2759
Opisthokonta,no rank,33154
Metazoa,kingdom,33208
Eumetazoa,no rank,6072
Bilateria,no rank,33213
Protostomia,no rank,33317
Ecdysozoa,no rank,1206794
Panarthropoda,no rank,88770
Arthropoda,phylum,6656
Mandibulata,no rank,197563
Pancrustacea,no rank,197562
Crustacea,subphylum,6657
Maxillopoda,class,72037
Thecostraca,subclass,116172
Cirripedia,infraclass,6675
Thoracica,superorder,6676
Sessilia,order,116167
Chthamalidae,family,37897
Chthamalus,genus,37898
Chthamalus dalli,species,116181
Lophotrochozoa,no rank,1206795
Mollusca,phylum,6447
Bivalvia,class,6544
Heteroconchia,no rank,6599
Euheterodonta,infraclass,735337
Myoida,order,278205
Hiatelloidea,superfamily,105708
Hiatellidae,family,61359
Panopea,genus,61360
Panopea generosa,species,1049056
Nemertea,phylum,6217
Anopla,class,6218
Heteronemertea,order,6219
Lineidae,family,6222
Maculaura,genus,1805652
Maculaura alaskensis,species,187798
Copepoda,subclass,6830
Neocopepoda,infraclass,116569
Gymnoplea,superorder,116570
Calanoida,order,6833
Clausocalanidae,family,148994
Pseudocalanus,genus,119371
Pseudocalanus mimus,species,163483
Paracalanidae,family,163470
Paracalanus,genus,163471
Paracalanus parvus,species,187406
Metridinidae,family,122094
Metridia,genus,114066
Metridia pacifica,species,114067
Annelida,phylum,6340
Polychaeta,class,6341
Palpata,subclass,105389
Aciculata,infraclass,105390
Eunicida,order,65495
Onuphidae,family,169110
Diopatra,genus,311533
Diopatra cf. ornata JZ-2010,species,759329
Phyllodocida,order,6348
Pholoidae,family,222011
Pholoides,genus,868092
Pholoides asperus,species,868093
Calanidae,family,6835
Calanus,genus,6836
Calanus pacificus,species,84301
Acartiidae,family,121147
Acartia,genus,121148
Acartia californiensis,species,1309584
Deuterostomia,no rank,33511
Echinodermata,phylum,7586
Eleutherozoa,no rank,133551
Echinozoa,superclass,7624
Echinoidea,class,7625
Euechinoidea,subclass,7638
Gnathostomata,superorder,35060
Clypeasteroida,order,31186
Dendrasteridae,family,273750
Dendraster,genus,273751
Dendraster excentricus,species,273752
Gastropoda,class,6448
Heterobranchia,no rank,216305
Euthyneura,no rank,216307
Nudipleura,no rank,680346
Nudibranchia,order,70849
Doridina,infraorder,216331
Anadoridoidea,superfamily,216335
Onchidorididae,family,71283
Knoutsodonta,genus,1639840
Knoutsodonta jannae,species,1639842
Pseudocalanus newmani,species,119373
Bryozoa,phylum,10205
Gymnolaemata,class,10206
Cheilostomatida,order,10207
Malacostegina,suborder,193205
Membraniporoidea,superfamily,193206
Membraniporidae,family,192924
Membranipora,genus,95169
Membranipora membranacea,species,95170
Balanidae,family,37806
Balanus,genus,6677
Balanus sp. BOLD:AAA5336,species,1646044
Balanus glandula,species,110520
