hit_name,qseqid,pident,db,taxon_name
101920,1_1112_14377_23336_lib_CACTGT_tag_AGCTAG,100,genbank,Bangia fuscopurpurea
102976,1_1112_18745_15670_lib_GATCTG_tag_AGTCAT,97.444,genbank,Euphausia pacifica
102976,1_2111_21275_18405_lib_GATCTG_tag_AGTCAT,98.706,genbank,Euphausia pacifica
102976,1_1115_13357_14619_lib_GGAACT_tag_ACGTAT,99.672,genbank,Euphausia pacifica
102976,1_1107_5438_17390_lib_TGACAT_tag_ATAGCA,97.764,genbank,Euphausia pacifica
102976,1_1117_5541_21872_lib_TGACAT_tag_ATAGCA,97.674,genbank,Euphausia pacifica
102976,1_1106_17222_9900_lib_TGACAT_tag_ATAGCA,98.722,genbank,Euphausia pacifica
102976,1_1104_21366_22333_lib_TGACAT_tag_ATCGAC,97.125,genbank,Euphausia pacifica
102976,1_1111_25399_6497_lib_TGACAT_tag_ATCGAC,100,genbank,Euphausia pacifica
102976,1_1113_19147_24056_lib_CACTGT_tag_AGCTAG,100,genbank,Euphausia pacifica
102976,1_1116_25898_11801_lib_GATCTG_tag_ACAGTC,99.681,genbank,Euphausia pacifica
102976,1_1114_19330_3089_lib_GATCTG_tag_ACGTAT,100,genbank,Euphausia pacifica
1034310,1_1101_15781_22304_lib_ACATCG_tag_AGCTAG,100,genbank,Wildemania amplissima
1037242,1_2108_14558_10940_lib_TGACAT_tag_ACAGTC,100,genbank,Galathowenia oculata
1037306,1_1116_10261_6724_lib_GATCTG_tag_ATCGAC,97.115,genbank,Scalibregma inflatum CMC03
1041512,1_2101_9866_17884_lib_GATCTG_tag_ACTAGC,100,genbank,Pseudo-nitzschia hasleana
1042646;1476750;442960;1042646,1_1109_3074_17374_lib_TGACAT_tag_ACAGTC,100,genbank,Gadus chalcogrammus;fish environmental sample;Gadus chalcogrammus chalcogrammus
1045979,1_1112_17709_6062_lib_GGACGG_tag_AGACGC,99.639,genbank,Entolomataceae sp. TRTC156478
1049056,1_2102_11747_15185_lib_GATCTG_tag_AGCTAG,100,genbank,Panopea generosa
1049056,1_2107_21942_12005_lib_GATCTG_tag_ACGTAT,100,genbank,Panopea generosa
1053098,1_2114_25594_17691_lib_GGAACT_tag_ATAGCA,99.361,genbank,Bangia sp. 1BAN
1053098,1_1102_16510_22112_lib_TTGACT_tag_AGTCAT,99.681,genbank,Bangia sp. 1BAN
1053873,1_2114_16708_11046_lib_CACTGT_tag_AGCTAG,100,genbank,Leathesia marina
1053873,1_1116_5127_16465_lib_ACATCG_tag_AGTCAT,100,genbank,Leathesia marina
1053873,1_2119_15749_5819_lib_ACATCG_tag_ATCGAC,99.677,genbank,Leathesia marina
106767,1_1115_18597_2855_lib_GATCTG_tag_ACTAGC,100,genbank,Hemigrapsus oregonensis
106767,1_1110_15407_16528_lib_GGAACT_tag_AGTCAT,100,genbank,Hemigrapsus oregonensis
106767,1_1101_21669_15824_lib_GGACGG_tag_ACAGTC,99.681,genbank,Hemigrapsus oregonensis
106767,1_1108_26666_13537_lib_GATCTG_tag_AGTCAT,99.679,genbank,Hemigrapsus oregonensis
106767,1_1109_20026_3489_lib_GGACGG_tag_ACAGTC,99.679,genbank,Hemigrapsus oregonensis
106767,1_2104_22863_6553_lib_GATCTG_tag_ACTAGC,100,genbank,Hemigrapsus oregonensis
1082620,1_1106_17408_6093_lib_TGACAT_tag_ATCGAC,98.083,genbank,Cirratulidae sp. BOLD:AAH0062
1082621,1_2116_7638_12235_lib_TGACAT_tag_ACGTAT,97.764,genbank,Eunoe sp. BOLD:AAG5099
1088773;1051354;1051354;1088773,1_1112_26369_17593_lib_ACATCG_tag_ATCGAC,100,genbank,Mastocarpus latissimus;Mastocarpus papillatus BOLD:AAA5480
1091071,1_1102_17418_4946_lib_ATTGGC_tag_ACTAGC,97.761,genbank,Haliclona sp. E GPM-2011
1091071,1_1105_22104_21536_lib_ATTGGC_tag_AGTCAT,97.388,genbank,Haliclona sp. E GPM-2011
1091071,1_1101_18965_3287_lib_ATTGGC_tag_ACTAGC,97.388,genbank,Haliclona sp. E GPM-2011
1091071,1_2114_16091_15727_lib_ACATCG_tag_ACGTAT,99.627,genbank,Haliclona sp. E GPM-2011
110520,1_2107_20511_18964_lib_GATCTG_tag_ATGTCG,100,genbank,Balanus glandula
110520,1_1103_10747_15097_lib_GGAACT_tag_AGTCAT,100,genbank,Balanus glandula
110520,1_1102_7894_17087_lib_GGAACT_tag_ATAGCA,100,genbank,Balanus glandula
110520,1_1113_3289_13499_lib_GGAACT_tag_ATAGCA,100,genbank,Balanus glandula
110520,1_1118_19050_13418_lib_GGACGG_tag_AGTCAT,99.663,genbank,Balanus glandula
110520,1_1102_4338_16310_lib_GGACGG_tag_ACGTAT,100,genbank,Balanus glandula
110520,1_1117_25557_11995_lib_GGACGG_tag_ACTAGC,100,genbank,Balanus glandula
110520,1_2108_7130_18123_lib_GGACGG_tag_AGACGC,99.327,genbank,Balanus glandula
110520,1_1101_20861_6406_lib_GGACGG_tag_AGTGTA,100,genbank,Balanus glandula
110520,1_1104_10793_10258_lib_GGACGG_tag_ATAGCA,99.663,genbank,Balanus glandula
110520,1_1112_24493_12480_lib_GGACGG_tag_ATAGCA,99.663,genbank,Balanus glandula
110520,1_2107_22823_20382_lib_GGACGG_tag_ATGTCG,100,genbank,Balanus glandula
110520,1_1119_16430_17960_lib_TGACAT_tag_ACAGTC,100,genbank,Balanus glandula
110520,1_1101_25845_5299_lib_TGACAT_tag_ACAGTC,100,genbank,Balanus glandula
110520,1_1117_8747_19980_lib_TGACAT_tag_ACAGTC,100,genbank,Balanus glandula
110520,1_1112_22187_10436_lib_TGACAT_tag_ACAGTC,99.324,genbank,Balanus glandula
110520,1_1107_23156_13961_lib_TGACAT_tag_ACAGTC,100,genbank,Balanus glandula
110520,1_1103_22993_9768_lib_TGACAT_tag_ACAGTC,99.663,genbank,Balanus glandula
110520,1_1103_16355_19117_lib_TGACAT_tag_ACAGTC,99.681,genbank,Balanus glandula
110520,1_1101_21163_4038_lib_TGACAT_tag_ACAGTC,99.663,genbank,Balanus glandula
110520,1_2114_15185_24039_lib_TGACAT_tag_ACAGTC,100,genbank,Balanus glandula
110520,1_1101_24844_6835_lib_TGACAT_tag_ACAGTC,100,genbank,Balanus glandula
110520,1_1102_26899_16693_lib_TGACAT_tag_ACGTAT,99.662,genbank,Balanus glandula
110520,1_1101_9281_20973_lib_TGACAT_tag_ACGTAT,99.074,genbank,Balanus glandula
110520,1_1110_19574_18384_lib_TGACAT_tag_ACGTAT,100,genbank,Balanus glandula
110520,1_1108_23963_3435_lib_TGACAT_tag_ACGTAT,99.327,genbank,Balanus glandula
110520,1_1108_19685_9665_lib_TGACAT_tag_ACGTAT,99.537,genbank,Balanus glandula
110520,1_1107_23296_5215_lib_TGACAT_tag_ACGTAT,100,genbank,Balanus glandula
110520,1_2106_7184_5480_lib_TGACAT_tag_ACGTAT,100,genbank,Balanus glandula
110520,1_1115_7325_19775_lib_TGACAT_tag_ACGTAT,99.344,genbank,Balanus glandula
110520,1_1102_10394_8198_lib_TGACAT_tag_ACGTAT,99.042,genbank,Balanus glandula
110520,1_1112_8222_17947_lib_TGACAT_tag_ATAGCA,99.359,genbank,Balanus glandula
110520,1_1106_16855_7845_lib_TGACAT_tag_ATCGAC,99.663,genbank,Balanus glandula
110520,1_1106_26295_17526_lib_TGACAT_tag_ACAGTC,100,genbank,Balanus glandula
110520,1_1113_9701_17959_lib_TGACAT_tag_ATCGAC,99.324,genbank,Balanus glandula
